,Month,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07
0,music bot,44.75,44.75,58.2,51.0,42.75,42.2,79.0,55.75,50.0,44.5,53.75,59.0
1,discord bot commands,78.75,60.25,65.4,55.25,52.5,55.8,64.5,57.25,53.6,46.75,50.25,36.8
2,google docs,59.75,95.5,92.4,82.25,59.5,77.2,86.25,73.5,76.2,64.5,34.75,25.0
3,how to add bot to discord,76.0,62.5,54.4,61.0,52.0,62.8,57.5,72.5,70.0,65.25,58.25,75.4
4,carl discord bot,77.5,71.25,67.0,53.0,66.75,79.0,75.75,61.75,66.8,74.0,78.25,74.0
5,carl bot,77.75,62.75,55.2,53.75,55.75,61.8,64.5,56.0,63.8,55.75,68.0,70.0
6,how to make a discord bot,67.75,53.25,55.4,70.25,69.5,58.2,73.5,67.25,68.0,48.0,73.25,65.2
7,discord roles bot,78.25,74.75,63.8,52.75,53.25,56.6,65.0,54.5,50.4,52.0,71.0,61.8
8,dyno bot,71.25,59.0,48.2,52.25,48.0,51.0,51.25,50.0,46.0,46.25,50.25,60.8
9,discord dyno bot,78.25,72.0,55.4,62.25,59.5,56.6,59.75,48.75,48.8,48.25,55.5,55.8
10,dyno,95.75,90.0,85.8,78.25,76.5,84.6,88.5,88.0,88.8,90.75,92.25,85.2
11,discord role bot,57.75,48.0,45.6,39.5,46.75,44.4,45.75,38.5,46.8,52.25,49.5,66.4
12,music bot discord,41.25,41.0,58.6,50.5,41.25,39.8,80.25,55.75,47.4,41.75,53.0,57.2
13,music bot for discord,57.5,48.0,74.8,73.0,48.75,37.6,79.25,58.25,43.0,38.25,52.75,34.6
14,python discord bot,72.75,65.5,58.8,63.75,78.5,65.8,68.5,72.75,61.2,49.5,51.75,59.8
15,python,79.25,91.0,96.2,84.25,71.5,79.8,94.5,87.75,83.0,71.75,73.75,68.6
16,youtube music bot discord,26.25,23.75,77.4,49.5,35.75,39.6,54.0,45.5,37.4,25.0,36.0,40.6
17,discord ai bot,44.0,29.75,28.4,15.0,25.0,27.6,38.5,42.75,66.8,64.25,57.0,58.8
18,discord invite bot,78.75,54.75,43.2,53.0,38.0,50.4,47.25,40.5,51.0,50.25,42.5,39.2
19,music bot discord 2023,0.0,2.0,3.2,4.75,2.25,13.0,67.0,42.25,33.0,32.0,40.75,53.0
20,chatgpt discord bot,0.0,0.0,7.0,6.75,25.5,26.8,47.5,71.0,54.0,45.0,30.75,24.0
21,chat gpt discord bot,22.0,8.5,11.4,4.75,39.75,61.2,65.0,74.25,52.4,61.0,22.75,25.8
22,nero bot discord,3.75,4.5,6.8,4.25,0.0,16.0,8.5,11.5,23.0,21.25,24.0,37.0
23,discord bots,89.0,69.5,74.2,70.5,66.25,68.2,82.5,72.0,67.8,63.5,75.5,76.2
24,midjourney,45.75,28.25,13.0,17.5,32.0,44.6,47.75,71.0,73.4,64.0,55.5,51.0
25,midjourney bot,49.75,10.75,5.6,8.75,8.25,10.0,11.25,13.25,11.6,12.0,6.25,4.4
26,midjourney discord bot,46.25,21.0,8.8,11.75,10.5,16.2,14.75,21.5,21.8,19.75,9.75,14.0
27,midjourney discord,55.5,35.5,15.4,18.25,31.25,46.4,49.5,74.5,72.4,65.5,51.5,37.6
28,appy discord bot,13.5,0.0,17.2,8.25,25.25,4.8,34.25,27.5,31.8,9.75,42.5,6.4
29,discord music bot that plays youtube,0.0,0.0,6.6,11.75,7.0,4.8,15.5,17.75,14.0,19.0,9.0,34.4
30,uzox bot,7.5,0.0,9.2,0.0,14.75,19.4,46.5,18.25,12.2,15.0,17.0,9.6
31,discord ai chat bot,0.0,8.25,16.4,15.25,15.0,9.2,13.25,39.5,80.6,57.25,60.25,16.8
32,midjourney ai,65.25,48.5,19.4,22.75,45.75,56.6,53.5,72.25,76.6,68.25,56.5,53.2
33,mid journey bot discord,63.5,17.5,0.0,6.25,0.0,9.0,3.5,27.75,2.8,5.0,6.25,10.8
34,how to make discord bot,70.0,53.75,63.4,65.75,68.0,63.6,70.5,68.75,60.0,51.5,71.5,81.0
35,ai art generator,11.25,15.0,15.0,17.75,47.0,23.4,21.5,22.0,24.6,23.25,19.75,18.4
