,Month,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07
0,music bot discord,43.0,39.0,41.25,57.6,49.75,39.5,38.6,78.75,54.75,45.2,41.5,52.0,50.25
1,youtube bot discord,25.0,25.0,28.25,75.6,51.75,41.5,42.4,54.0,44.0,40.0,35.0,42.5,48.0
2,dyno bot discord,100.0,67.5,59.5,45.6,48.75,40.0,47.2,45.5,47.0,43.4,47.5,44.0,41.25
3,music bot discord youtube,9.0,19.5,21.75,72.2,39.0,32.75,29.8,56.0,44.5,37.8,32.25,28.75,28.5
4,music bots,31.0,35.0,34.25,50.2,38.0,33.0,32.0,77.0,40.75,41.2,31.25,42.0,41.25
5,discord music bots,26.0,30.5,29.25,47.6,37.5,28.75,28.6,76.25,40.5,37.8,28.5,35.25,42.0
6,discord bots,89.0,91.0,70.75,77.8,73.25,66.0,67.8,82.75,73.25,70.6,64.25,74.5,79.75
7,best music bot discord,69.0,39.0,33.25,43.0,52.0,41.5,41.6,68.0,59.75,24.4,41.75,35.75,33.75
8,spotify,37.0,42.25,43.0,44.8,58.25,43.0,45.4,44.5,43.5,45.2,43.5,38.5,35.5
9,jockie music,12.0,16.75,16.0,31.6,35.5,21.5,21.6,43.0,35.5,42.0,44.25,39.0,66.5
10,jockie music bot,24.0,18.0,20.0,37.4,25.5,14.5,28.6,57.5,39.75,47.2,48.25,44.5,55.5
11,hydra bot music,60.0,45.25,33.5,43.0,42.75,27.75,30.4,61.75,19.5,13.8,18.75,20.25,36.25
12,discord music,51.0,48.0,46.25,61.4,54.5,47.25,46.0,79.25,58.5,54.0,47.75,60.25,54.75
13,hydra bot,100.0,77.75,65.25,77.0,67.25,60.25,58.6,57.0,21.25,18.4,16.0,16.5,12.0
14,discord music bot 2022,21.0,24.0,23.5,53.2,24.0,26.75,21.8,19.0,13.25,2.6,1.25,6.75,0.0
15,hydra,79.0,84.25,68.0,64.2,66.0,68.5,68.2,55.25,41.75,40.4,41.0,39.25,41.5
16,add music bot to discord,67.0,58.0,41.75,58.4,71.75,34.0,55.0,59.75,73.5,56.4,69.5,48.5,39.5
