Unnamed: 0,Month,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,Sum,6-Months,3-Months,1-Month
230,emoji copy paste,85.0,90.25,94.0,93.0,93.75,91.75,91.8,93.5,96.0,95.4,95.5,87.75,84.33333333333333,1107.03,-2.07,-17.32,-3.42
233,emoji copy and paste,79.5,86.25,93.5,93.4,93.5,91.25,90.8,93.5,95.5,94.4,91.5,82.75,79.0,1085.35,-12.05,-30.15,-3.75
229,emoji copy,82.5,87.75,93.0,90.4,91.0,90.75,89.0,90.75,93.5,92.2,92.75,85.25,84.66666666666667,1081.02,-2.78,-13.78,-0.58
51,discord,96.5,94.0,85.5,82.6,82.0,85.5,87.6,87.75,91.25,90.0,86.25,96.75,92.0,1061.2,26.8,6.0,-4.75
258,font generator,79.5,81.5,80.5,82.8,80.75,87.5,87.6,90.25,90.75,93.4,97.0,96.75,91.0,1059.8,58.5,10.35,-5.75
4,emoji,80.0,86.0,85.5,89.2,84.0,87.0,86.2,89.0,88.0,91.4,91.25,87.75,84.66666666666667,1049.97,14.17,-4.73,-3.08
169,7zip,92.5,89.5,82.75,82.0,84.0,87.0,87.6,92.0,87.25,89.6,88.25,84.0,93.33333333333331,1047.28,21.58,-3.27,9.33
66,anime girl,93.0,90.25,89.25,93.4,84.25,89.0,88.0,83.5,83.0,86.4,85.5,85.0,89.33333333333333,1046.88,-21.42,6.93,4.33
60,gif,81.5,85.75,92.5,91.0,90.75,89.0,91.8,92.75,90.0,85.2,84.5,76.25,72.33333333333333,1041.83,-39.77,-34.87,-3.92
210,password manager,77.5,79.0,79.5,78.2,80.5,90.0,93.0,91.75,90.5,87.4,89.75,91.5,90.33333333333331,1041.43,41.03,1.93,-1.17
192,google account,92.5,96.5,95.0,88.6,82.5,82.75,88.4,84.25,86.0,84.0,85.0,88.0,77.33333333333333,1038.33,-29.17,-3.92,-10.67
506,maki,87.0,83.75,92.75,85.4,79.25,84.75,84.8,85.5,86.0,84.4,84.75,85.75,98.66666666666669,1035.77,14.37,13.27,12.92
267,skull emoji,75.0,80.0,86.25,93.0,83.75,85.5,90.6,89.0,94.0,89.0,87.25,82.0,74.33333333333333,1034.68,-3.52,-28.42,-7.67
48,anime,97.0,89.0,83.5,86.0,82.5,89.25,88.0,79.75,83.5,84.4,87.5,84.75,95.33333333333331,1033.48,-3.02,19.93,10.58
236,text emoji,76.0,79.5,79.75,81.4,83.25,82.5,84.2,86.75,87.75,90.8,88.5,93.5,90.33333333333331,1028.23,47.03,7.03,-3.17
460,g2a,94.0,91.0,87.25,78.0,82.5,83.0,85.8,94.25,84.5,79.8,85.75,91.25,76.0,1019.1,4.0,-5.55,-15.25
485,dyno,97.0,93.75,88.0,83.2,76.0,74.75,81.6,86.75,85.0,86.4,87.5,89.0,85.0,1016.95,22.35,3.35,-4.0
157,discord login,99.0,94.25,82.5,82.4,85.25,84.75,82.2,84.25,77.5,78.4,84.25,87.0,90.0,1012.75,-9.95,21.1,3.0
193,login discord,99.0,94.25,82.5,82.4,85.25,84.75,82.2,84.25,77.5,78.4,84.25,87.0,90.0,1012.75,-9.95,21.1,3.0
145,what is discord,89.0,83.75,79.75,75.6,81.5,77.5,88.8,88.25,88.0,92.0,82.75,88.0,85.66666666666667,1011.57,37.77,-11.83,-2.33
221,patreon,91.5,80.75,79.0,75.8,76.75,79.5,90.2,87.5,84.25,81.0,85.75,88.25,95.0,1003.75,39.75,16.25,6.75
208,google password manager,69.0,69.25,66.25,70.8,74.0,86.5,90.4,93.25,89.25,89.0,93.25,95.0,86.0,1002.95,88.55,2.75,-9.0
185,appstore,90.0,80.75,84.75,81.6,84.25,89.25,85.6,78.75,79.75,82.8,85.75,80.0,89.33333333333333,1002.58,-9.82,13.78,9.33
108,discord app,86.0,91.75,86.25,82.2,84.5,82.75,81.6,78.75,83.5,84.6,79.25,86.0,80.0,1001.15,-16.95,-1.6,-6.0
252,color picker,71.0,82.5,94.25,86.4,85.0,75.25,89.6,92.0,90.0,85.4,79.75,71.25,66.66666666666667,998.07,-27.93,-49.73,-4.58
259,pintrest,72.0,77.5,88.25,84.6,81.5,79.25,86.4,89.0,85.5,85.4,79.25,76.0,77.0,989.65,-5.35,-27.65,1.0
349,reverse image search,94.0,86.75,86.0,78.0,79.25,78.75,77.4,75.75,76.25,82.2,81.25,89.5,94.0,985.1,12.8,30.55,4.5
324,pfp,98.0,97.25,89.25,82.2,80.25,82.5,82.4,79.0,78.75,76.8,76.25,81.0,78.0,983.65,-44.05,0.7,-3.0
490,python,79.5,78.75,90.5,95.2,83.75,70.5,80.4,94.25,86.5,82.4,71.25,72.5,75.33333333333333,981.33,-16.87,-44.07,2.83
422,linktree,85.5,85.25,85.0,83.2,87.75,71.75,89.4,87.0,85.25,78.8,74.5,76.25,75.0,979.15,-25.55,-25.3,-1.25
335,obsolete,67.5,77.25,91.75,88.2,80.75,70.75,83.0,88.0,88.5,91.0,82.75,71.0,65.33333333333333,978.28,-5.12,-48.42,-5.67
69,what is pfp,67.5,81.0,87.25,81.4,84.5,80.25,81.4,85.75,88.75,85.4,81.0,65.25,63.66666666666666,965.62,-25.98,-49.98,-1.58
323,idle meaning,82.0,80.25,73.25,84.8,79.5,74.5,83.6,82.75,86.25,92.8,81.0,71.0,72.33333333333333,962.03,10.23,-37.47,1.33
268,bot,87.5,87.0,77.5,73.8,71.5,78.75,80.0,84.5,79.75,87.6,80.25,79.25,78.0,957.9,20.8,-14.35,-1.25
158,discord web,74.5,80.0,69.5,70.4,72.25,76.25,78.0,82.75,76.75,81.0,88.25,89.75,90.33333333333331,955.23,62.43,27.83,0.58
266,eye emoji,76.0,74.75,77.5,72.0,69.5,66.25,78.6,81.25,88.5,85.8,81.0,90.25,89.66666666666667,955.07,77.87,5.37,-0.58
72,pfp meaning,85.5,74.0,83.0,77.0,73.5,80.25,80.8,89.25,79.0,84.2,80.75,84.25,67.66666666666667,953.67,16.57,-19.78,-16.58
358,what is steam,59.0,68.25,73.0,73.6,81.25,84.75,85.8,89.75,87.75,80.0,75.5,75.0,76.66666666666667,951.32,18.02,-30.33,1.67
360,steam cleaner,77.5,82.25,74.25,70.6,80.25,71.25,77.6,71.75,77.5,84.0,83.25,85.75,92.0,950.45,38.05,27.75,6.25
57,black pfp,87.0,92.75,85.0,76.0,75.5,78.25,84.6,73.75,75.5,70.4,75.25,81.75,81.0,949.75,-34.45,18.35,-0.75
309,soundcloud,68.5,82.0,92.25,89.0,84.75,86.0,83.0,82.0,78.0,76.0,74.5,61.5,59.66666666666666,948.67,-85.33,-40.33,-1.83
257,star symbol,69.0,76.0,77.75,72.2,75.25,79.0,79.4,76.75,77.25,85.4,87.5,82.75,78.66666666666667,947.92,28.72,9.52,-4.08
154,app store,82.0,85.75,82.75,77.4,80.0,83.5,81.0,78.5,75.75,76.8,73.5,77.75,75.0,947.7,-33.1,-4.8,-2.75
263,nerd emoji,65.5,83.25,82.75,83.2,75.0,74.75,87.2,79.5,79.0,85.8,87.5,69.0,56.0,942.95,-29.35,-31.8,-13.0
320,idle,70.5,77.75,88.5,89.6,75.5,71.5,74.6,78.75,78.0,80.2,81.5,73.25,70.33333333333333,939.48,-15.42,-11.87,-2.92
188,how to delete discord,94.0,80.5,67.5,72.8,71.5,75.5,77.6,82.5,82.5,82.6,78.75,84.75,81.33333333333333,937.83,47.03,-2.77,-3.42
165,discord apps,73.0,86.75,82.25,80.6,69.25,76.0,74.2,72.75,75.75,75.2,85.5,80.5,78.66666666666667,937.42,-0.68,20.97,-1.83
194,gmail account,93.5,97.25,81.75,78.0,74.0,76.75,78.4,75.75,75.0,72.2,76.0,74.75,76.0,935.85,-36.45,3.8,1.25
217,spotify download,78.0,83.75,82.5,74.2,74.25,85.75,85.2,73.75,75.25,73.6,71.75,74.0,75.66666666666667,929.67,-41.63,-1.18,1.67
239,custom emoji,80.5,81.5,73.75,77.8,72.5,68.5,82.4,74.75,74.0,79.8,80.5,85.75,78.0,929.25,16.35,15.7,-7.75
378,stream,64.0,69.5,85.25,79.0,84.75,80.5,77.6,81.75,77.0,76.2,70.75,70.25,69.66666666666667,922.22,-30.98,-24.28,-0.58
58,cute pfp,89.5,92.0,88.5,86.6,82.5,79.0,76.2,75.5,75.0,68.4,64.0,69.0,64.33333333333333,921.03,-88.57,-21.57,-4.67
228,bot emoji,83.0,84.25,87.5,77.4,76.75,75.0,79.0,67.75,71.25,80.0,64.0,72.25,82.33333333333333,917.48,-42.32,-0.42,10.08
254,remove background from image,63.5,69.25,71.25,76.6,75.5,71.0,77.0,80.25,80.75,86.2,80.75,72.5,71.0,912.05,30.85,-22.95,-1.5
176,visual studio code,75.5,83.75,86.25,75.0,69.5,64.0,83.0,83.25,77.75,77.8,71.25,70.0,70.33333333333333,911.88,-11.12,-27.22,0.33
417,zapier,75.0,73.75,66.25,65.4,61.75,64.5,80.8,81.75,82.0,78.2,83.5,85.5,85.33333333333333,908.73,83.83,12.38,-0.17
45,delete discord server,68.5,78.75,60.25,65.2,72.5,79.25,75.0,76.75,79.75,73.8,80.25,85.75,76.66666666666667,903.92,42.02,12.37,-9.08
56,what is discord server,88.0,80.5,72.0,61.2,70.25,68.5,75.8,68.25,71.5,84.2,72.25,86.5,92.0,902.95,46.45,26.8,5.5
241,heart emoji,73.5,72.0,69.25,70.4,73.0,75.25,75.8,86.0,74.5,78.0,81.5,77.0,69.0,901.7,30.3,-11.0,-8.0
327,discord lyrics,87.5,86.5,69.25,67.8,71.75,73.25,70.6,74.75,73.5,76.6,74.0,76.5,84.66666666666667,899.17,20.87,10.32,8.17
512,what is nitro,66.5,84.5,88.0,83.0,71.25,61.75,73.6,78.0,95.25,84.6,72.75,57.0,49.0,898.7,-25.5,-79.1,-8.0
234,emoji maker,72.5,75.5,74.5,72.2,72.5,73.75,73.4,82.75,75.0,77.0,84.0,76.5,59.66666666666666,896.77,13.07,-14.58,-16.83
10,discord bots,93.0,91.25,71.75,77.2,73.0,67.0,71.0,84.5,72.5,70.6,64.5,76.25,76.66666666666667,896.22,-6.18,-10.18,0.42
52,girl pfp,96.5,84.0,79.5,73.2,71.25,78.5,74.4,72.0,71.0,71.0,70.0,76.0,75.33333333333333,896.18,-25.52,7.33,-0.67
89,roblox discord,95.5,90.75,75.5,67.6,73.25,78.75,72.6,71.25,64.5,70.0,69.25,78.75,83.33333333333333,895.53,-21.37,25.58,4.58
160,discord desktop,74.0,81.25,66.75,68.6,71.25,75.25,79.0,74.25,68.5,74.0,78.25,79.5,74.0,890.6,6.4,15.0,-5.5
49,matching pfp,97.5,93.25,90.0,85.6,76.0,72.75,69.8,66.5,63.5,65.0,65.25,70.75,68.0,886.4,-88.4,9.0,-2.75
